supplier_name,facility_name,risk_type,risk_level,risk_confidence,timeframe,context
Garmin International,Global Headquarters,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Garmin International,Olathe Manufacturing,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Garmin International,Garmin Salem,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Garmin International,Garmin Chandler,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Garmin International,Lin Kou Plant (Taiwan),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Garmin International,Zhongli Plant (Taiwan),Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Garmin International,Tainan Plant (Taiwan),Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Garmin International,Garmin Europe HQ,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Garmin International,Würzburg R&D (Germany),Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Garmin International,Garmin Cluj (Romania),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Garmin International,Garmin Singapore,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Garmin International,Garmin Birtley (UK),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Garmin International,Garmin Australasia,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,TTI Innovation Center,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Milwaukee Tool Global HQ,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Milwaukee Tool Jackson Plant,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Milwaukee Tool Grenada Plant,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Milwaukee Tool Greenwood Plant,Inland Flooding,Critical,,Baseline,Inland flood model assigns Critical risk to this location. Expected flood loss: 33.00% of asset value per event. Classified as Critical due to very high flood risk combined with expected losses exceeding 20% of asset value.
Techtronic Industries,Milwaukee Tool Olive Branch DC,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Milwaukee Tool Clinton Plant,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Milwaukee Tool West Bend,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Empire Level (Subsidiary),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Milwaukee Tool Torreon,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,TTI Floor Care N.A.,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,TTI Dongguan Hub,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Techtronic Industries,TTI Vietnam (SHTP),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,DreBo Werkzeugfabrik,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Techtronic Industries,Ryobi Die Casting (USA),Inland Flooding,Critical,,Baseline,Inland flood model assigns Critical risk to this location. Expected flood loss: 33.00% of asset value per event. Classified as Critical due to very high flood risk combined with expected losses exceeding 20% of asset value.
"S.C. Johnson & Son, Inc.",Global Corporate HQ,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",Waxdale Facility,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",North America HQ,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Inland Flooding,Very High,,Baseline,Inland flood model assigns Very High risk to this location. Expected flood loss: 13.26% of asset value per event.
"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
"S.C. Johnson & Son, Inc.",SCJ Europlant,Inland Flooding,Critical,,Baseline,Inland flood model assigns Critical risk to this location. Expected flood loss: 33.00% of asset value per event. Classified as Critical due to very high flood risk combined with expected losses exceeding 20% of asset value.
"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Inland Flooding,Critical,,Baseline,Inland flood model assigns Critical risk to this location. Expected flood loss: 33.00% of asset value per event. Classified as Critical due to very high flood risk combined with expected losses exceeding 20% of asset value.
"S.C. Johnson & Son, Inc.",Rosslyn Factory,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"S.C. Johnson & Son, Inc.",Toluca Plant,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"GOJO Industries, Inc.",Global Headquarters,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"GOJO Industries, Inc.",Lippman Campus (Stow),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"GOJO Industries, Inc.",Cuyahoga Falls Plant,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"GOJO Industries, Inc.",Wooster Facility,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"GOJO Industries, Inc.",Maple Heights Plant,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"GOJO Industries, Inc.",Ashland Dist. Center,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"GOJO Industries, Inc.",Navarre Warehouse,Inland Flooding,Critical,,Baseline,Inland flood model assigns Critical risk to this location. Expected flood loss: 33.00% of asset value per event. Classified as Critical due to very high flood risk combined with expected losses exceeding 20% of asset value.
"GOJO Industries, Inc.",GOJO Europe (UK HQ),Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
"GOJO Industries, Inc.",GOJO France SARL,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
"GOJO Industries, Inc.",GOJO Australasia,Inland Flooding,Very High,,Baseline,Inland flood model assigns Very High risk to this location. Expected flood loss: 10.45% of asset value per event.
"GOJO Industries, Inc.","GOJO Japan, Inc.",Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
"GOJO Industries, Inc.",GOJO América Latina,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"GOJO Industries, Inc.",GOJO Canada Inc.,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Inland Flooding,Very High,,Baseline,Inland flood model assigns Very High risk to this location. Expected flood loss: 9.92% of asset value per event.
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Hangzhou Greatstar Industrial.Co.,BeA GmbH (Germany),Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Inland Flooding,Critical,,Baseline,Inland flood model assigns Critical risk to this location. Expected flood loss: 33.00% of asset value per event. Classified as Critical due to very high flood risk combined with expected losses exceeding 20% of asset value.
Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Hangzhou Greatstar Industrial.Co.,GreatStar Thailand Base,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Inland Flooding,Very High,,Baseline,Inland flood model assigns Very High risk to this location. Expected flood loss: 7.84% of asset value per event.
Hangzhou Greatstar Industrial.Co.,Goldblatt / GreatStar R&D,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Perrigo Company,Global Headquarters,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Perrigo Company,N. American Corporate HQ,Inland Flooding,Critical,,Baseline,Inland flood model assigns Critical risk to this location. Expected flood loss: 33.00% of asset value per event. Classified as Critical due to very high flood risk combined with expected losses exceeding 20% of asset value.
Perrigo Company,Allegan Main Campus,Inland Flooding,Very High,,Baseline,Inland flood model assigns Very High risk to this location. Expected flood loss: 10.45% of asset value per event.
Perrigo Company,Allegan Water St Plant,Inland Flooding,Very High,,Baseline,Inland flood model assigns Very High risk to this location. Expected flood loss: 10.45% of asset value per event.
Perrigo Company,Eau Claire Facility,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Perrigo Company,PBM Nutritionals (Vermont),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Perrigo Company,Perrigo Direct Hub,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Perrigo Company,Omaha Logistics Center,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Perrigo Company,Perrigo Israel (Yeruham),Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Perrigo Company,Perrigo Mexico,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Perrigo Company,Wrafton Laboratories (UK),Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Perrigo Company,Galpharm International,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Perrigo Company,Rosemont Pharmaceuticals,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
Perrigo Company,HRA Pharma Global HQ,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
Perrigo Company,HRA Pharma US,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
The Hain Celestial Group,Global Headquarters,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
The Hain Celestial Group,Celestial Seasonings,Inland Flooding,Very High,,Baseline,Inland flood model assigns Very High risk to this location. Expected flood loss: 10.45% of asset value per event.
The Hain Celestial Group,Hain Personal Care Hub,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
The Hain Celestial Group,Hain Celestial Canada HQ,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
The Hain Celestial Group,Mississauga Facility,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
The Hain Celestial Group,Hain Daniels (Fakenham),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
The Hain Celestial Group,Hain Daniels (Histon),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
The Hain Celestial Group,Fresh Innovation Centre,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
The Hain Celestial Group,Ella’s Kitchen HQ,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
The Hain Celestial Group,Natumi GmbH,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
The Hain Celestial Group,Mona Naturprodukte (Joya),Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
The Hain Celestial Group,Cully & Sully,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
The Hain Celestial Group,Yorkshire Provender,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
ZURU LLC.,ZURU Global HQ,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
ZURU LLC.,ZURU US Flagship Campus,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
ZURU LLC.,ZURU Shenzhen Hub,Inland Flooding,Very High,,Baseline,Inland flood model assigns Very High risk to this location. Expected flood loss: 10.45% of asset value per event.
ZURU LLC.,ZURU Huizhou Smart Factory,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
ZURU LLC.,ZURU Guangzhou Plant,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
ZURU LLC.,ZURU New Zealand HQ,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
ZURU LLC.,ZURU Tech Italy (Modena),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
ZURU LLC.,ZURU Tech India (Ahmedabad),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
ZURU LLC.,ZURU Tech India (Kolkata),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
ZURU LLC.,ZURU Bentonville Office,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
ZURU LLC.,ZURU Tech Italy (Milan),Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
ZURU LLC.,ZURU Dongguan Tech Center,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
John Paul Mitchell Systems,Global Headquarters,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
John Paul Mitchell Systems,JPMS Creative Center,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
John Paul Mitchell Systems,Santa Clarita DC,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
John Paul Mitchell Systems,The Awapuhi Farm,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
John Paul Mitchell Systems,JPMS UK (Salon Success),Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
John Paul Mitchell Systems,JPMS European Hub,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
John Paul Mitchell Systems,Pro-motive (Subsidiary),Inland Flooding,Critical,,Baseline,Inland flood model assigns Critical risk to this location. Expected flood loss: 31.78% of asset value per event. Classified as Critical due to very high flood risk combined with expected losses exceeding 20% of asset value.
John Paul Mitchell Systems,Distribution Center East,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"Natural Organics, Inc.",Global Headquarters,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"Natural Organics, Inc.",Melville Manufacturing,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"Natural Organics, Inc.","The ""Pharma-Lab""",Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"Natural Organics, Inc.",Melville Distribution,Inland Flooding,Very Low,,Baseline,Probabilistic inland flood model assigns very low flood risk to this location. Expected flood losses are negligible under modelled scenarios.
"Natural Organics, Inc.",Amityville Facility,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
"Natural Organics, Inc.",Nature’s Plus UK,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
"Natural Organics, Inc.",Euro-Nutrition Hub,Inland Flooding,Very Low,Low,Baseline,Facility not included in the inland flood model dataset. Assessed as Very Low based on regional topography and drainage.
