supplier_name,facility_name,risk_type,risk_level,timeframe,context
Garmin International,Global Headquarters,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (executive hq & aviation r&d) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Garmin International,Olathe Manufacturing,Waste Water,Low,Baseline,Basin characterised by low-medium water stress.
Garmin International,Garmin Salem,Waste Water,Low,Baseline,Basin characterised by low water stress.
Garmin International,Garmin Chandler,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (software & hardware r&d hub) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Garmin International,Lin Kou Plant (Taiwan),Waste Water,Low,Baseline,"Basin characterised by low-medium water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Garmin International,Zhongli Plant (Taiwan),Waste Water,Low,Baseline,"Basin characterised by low-medium water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Garmin International,Tainan Plant (Taiwan),Waste Water,Low,Baseline,"Basin characterised by low-medium water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Garmin International,Garmin Europe HQ,Waste Water,Medium,Baseline,"Distribution and logistics facility with limited wastewater generation (sanitation and cleaning only); score capped relative to WRI basin indicator. Basin characterised by medium-high water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Garmin International,Würzburg R&D (Germany),Waste Water,Negligible,Baseline,Administrative or non-industrial facility (automotive oem & software r&d) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Garmin International,Garmin Cluj (Romania),Waste Water,Negligible,Baseline,Administrative or non-industrial facility (global software development hub) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Garmin International,Garmin Singapore,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (se asia sales & support hub) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Garmin International,Garmin Birtley (UK),Waste Water,Very Low,Baseline,"Distribution and logistics facility with limited wastewater generation (sanitation and cleaning only); score capped relative to WRI basin indicator. Basin characterised by low water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Garmin International,Garmin Australasia,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (apac sales & customer support) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Techtronic Industries,TTI Innovation Center,Waste Water,Medium,Baseline,Basin characterised by medium-high water stress.
Techtronic Industries,Milwaukee Tool Global HQ,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (r&d & executive admin) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Techtronic Industries,Milwaukee Tool Jackson Plant,Waste Water,Medium,Baseline,Basin characterised by medium-high water stress.
Techtronic Industries,Milwaukee Tool Grenada Plant,Waste Water,Low,Baseline,Basin characterised by low water stress.
Techtronic Industries,Milwaukee Tool Greenwood Plant,Waste Water,Low,Baseline,Basin characterised by low water stress.
Techtronic Industries,Milwaukee Tool Olive Branch DC,Waste Water,Low,Baseline,Distribution and logistics facility with limited wastewater generation (sanitation and cleaning only); score capped relative to WRI basin indicator. Basin characterised by low water stress.
Techtronic Industries,Milwaukee Tool Clinton Plant,Waste Water,Low,Baseline,Basin characterised by low water stress.
Techtronic Industries,Milwaukee Tool West Bend,Waste Water,Medium,Baseline,"Basin characterised by medium-high water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Techtronic Industries,Empire Level (Subsidiary),Waste Water,Very High,Baseline,"Basin characterised by extremely high water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Techtronic Industries,Milwaukee Tool Torreon,Waste Water,Very High,Baseline,Basin characterised by extremely high water stress.
Techtronic Industries,TTI Floor Care N.A.,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (hoover/oreck/dirt devil hq) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Techtronic Industries,TTI Dongguan Hub,Waste Water,Low,Baseline,Basin characterised by low-medium water stress.
Techtronic Industries,TTI Vietnam (SHTP),Waste Water,Low,Baseline,Basin characterised by low-medium water stress.
Techtronic Industries,DreBo Werkzeugfabrik,Waste Water,Very Low,Baseline,"Basin characterised by low water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Techtronic Industries,Ryobi Die Casting (USA),Waste Water,Medium,Baseline,Basin characterised by medium-high water stress.
"S.C. Johnson & Son, Inc.",Global Corporate HQ,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (executive leadership & global admin) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
"S.C. Johnson & Son, Inc.",Waxdale Facility,Waste Water,Medium,Baseline,"Basin characterised by medium-high water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"S.C. Johnson & Son, Inc.",Ziploc Bay City Plant,Waste Water,Medium,Baseline,"Basin characterised by medium-high water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"S.C. Johnson & Son, Inc.",North America HQ,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (regional hub / commercial operations) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Waste Water,High,Baseline,"Basin characterised by high water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (b2b division global headquarters) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Waste Water,Medium,Baseline,Basin characterised by medium-high water stress.
"S.C. Johnson & Son, Inc.",SCJ Europlant,Waste Water,Low,Baseline,"Basin characterised by low water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Waste Water,Negligible,Baseline,Administrative or non-industrial facility (regional hq for emea) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Waste Water,Very Low,Baseline,"Basin characterised by low water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"S.C. Johnson & Son, Inc.",Rosslyn Factory,Waste Water,Very High,Baseline,"Basin characterised by extremely high water stress. Seasonal water depletion (>25–75% annual depletion, dry-year) reduces assimilative capacity of local waterways."
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Waste Water,Very High,Baseline,"Basin characterised by extremely high water stress. Seasonal water depletion (>25–75% annual depletion, dry-year) reduces assimilative capacity of local waterways."
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Waste Water,Low,Baseline,Basin characterised by low-medium water stress.
"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (latin america regional hub) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Waste Water,Low,Baseline,"Basin characterised by low water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"S.C. Johnson & Son, Inc.",Toluca Plant,Waste Water,High,Baseline,"Basin characterised by high water stress. Seasonal water depletion (>25–75% annual depletion, dry-year) reduces assimilative capacity of local waterways."
"GOJO Industries, Inc.",Global Headquarters,Waste Water,Negligible,Baseline,"Administrative or non-industrial facility (executive leadership, r&d & global admin) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations."
"GOJO Industries, Inc.",Lippman Campus (Stow),Waste Water,Low,Baseline,"Distribution and logistics facility with limited wastewater generation (sanitation and cleaning only); score capped relative to WRI basin indicator. Basin characterised by low-medium water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"GOJO Industries, Inc.",Cuyahoga Falls Plant,Waste Water,Low,Baseline,"Basin characterised by low-medium water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"GOJO Industries, Inc.",Wooster Facility,Waste Water,Medium,Baseline,Basin characterised by medium-high water stress.
"GOJO Industries, Inc.",Maple Heights Plant,Waste Water,Low,Baseline,"Basin characterised by low-medium water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"GOJO Industries, Inc.",Ashland Dist. Center,Waste Water,Medium,Baseline,Distribution and logistics facility with limited wastewater generation (sanitation and cleaning only); score capped relative to WRI basin indicator. Basin characterised by medium-high water stress.
"GOJO Industries, Inc.",Navarre Warehouse,Waste Water,Medium,Baseline,Distribution and logistics facility with limited wastewater generation (sanitation and cleaning only); score capped relative to WRI basin indicator. Basin characterised by medium-high water stress.
"GOJO Industries, Inc.",GOJO Europe (UK HQ),Waste Water,Negligible,Baseline,Administrative or non-industrial facility (emea regional hq & logistics) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
"GOJO Industries, Inc.",GOJO France SARL,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (western europe commercial hub) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
"GOJO Industries, Inc.",GOJO Australasia,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (apac regional commercial hub) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
"GOJO Industries, Inc.","GOJO Japan, Inc.",Waste Water,Negligible,Baseline,Administrative or non-industrial facility (asia sales & operations) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
"GOJO Industries, Inc.",GOJO América Latina,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (south america mfg & sales hub) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
"GOJO Industries, Inc.",GOJO Canada Inc.,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (canadian sales & distribution) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Waste Water,Negligible,Baseline,"Administrative or non-industrial facility (executive hq, r&d & tech center) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations."
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (north american hub & logistics) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Waste Water,Low,Baseline,"Basin characterised by low water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Waste Water,Low,Baseline,Basin characterised by low-medium water stress.
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Waste Water,Very High,Baseline,"Basin characterised by extremely high water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge. Seasonal water depletion (>25–75% annual depletion, seasonal) reduces assimilative capacity of local waterways."
Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Waste Water,Very Low,Baseline,"Basin characterised by low water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Hangzhou Greatstar Industrial.Co.,BeA GmbH (Germany),Waste Water,Low,Baseline,Basin characterised by low water stress.
Hangzhou Greatstar Industrial.Co.,Zhongshan Geelong Mfg,Waste Water,Low,Baseline,"Basin characterised by low water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Hangzhou Greatstar Industrial.Co.,GreatStar Vietnam Base,Waste Water,Low,Baseline,Basin characterised by low-medium water stress.
Hangzhou Greatstar Industrial.Co.,GreatStar Thailand Base,Waste Water,Very High,Baseline,"Basin characterised by extremely high water stress. Seasonal water depletion (>25–75% annual depletion, dry-year) reduces assimilative capacity of local waterways."
Hangzhou Greatstar Industrial.Co.,Haining GreatStar Hub,Waste Water,Low,Baseline,Basin characterised by low water stress.
Hangzhou Greatstar Industrial.Co.,Goldblatt / GreatStar R&D,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (pro-construction tool design) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Hangzhou Greatstar Industrial.Co.,GreatStar Changzhou Base,Waste Water,Medium,Baseline,"Basin characterised by medium-high water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Hangzhou Greatstar Industrial.Co.,Xiaoshan Logistics Base,Waste Water,Medium,Baseline,Distribution and logistics facility with limited wastewater generation (sanitation and cleaning only); score capped relative to WRI basin indicator. Basin characterised by medium-high water stress.
Perrigo Company,Global Headquarters,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (global executive administration) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Perrigo Company,N. American Corporate HQ,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (regional leadership & innovation) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Perrigo Company,Allegan Main Campus,Waste Water,Medium,Baseline,"Basin characterised by medium-high water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Perrigo Company,Allegan Water St Plant,Waste Water,Medium,Baseline,"Basin characterised by medium-high water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Perrigo Company,Eau Claire Facility,Waste Water,Medium,Baseline,Basin characterised by medium-high water stress.
Perrigo Company,PBM Nutritionals (Vermont),Waste Water,Very Low,Baseline,"Basin characterised by low water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Perrigo Company,Perrigo Direct Hub,Waste Water,Low,Baseline,Distribution and logistics facility with limited wastewater generation (sanitation and cleaning only); score capped relative to WRI basin indicator. Basin characterised by low-medium water stress.
Perrigo Company,Omaha Logistics Center,Waste Water,Low,Baseline,Distribution and logistics facility with limited wastewater generation (sanitation and cleaning only); score capped relative to WRI basin indicator. Basin characterised by low water stress.
Perrigo Company,Perrigo Israel (Yeruham),Waste Water,Very High,Baseline,"Basin characterised by extremely high water stress. Seasonal water depletion (>25–75% annual depletion, seasonal) reduces assimilative capacity of local waterways."
Perrigo Company,Perrigo Mexico,Waste Water,Very High,Baseline,"Basin characterised by extremely high water stress. Seasonal water depletion (>25–75% annual depletion, dry-year) reduces assimilative capacity of local waterways."
Perrigo Company,Wrafton Laboratories (UK),Waste Water,Low,Baseline,"Basin characterised by low water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Perrigo Company,Galpharm International,Waste Water,Low,Baseline,"Basin characterised by low-medium water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Perrigo Company,Rosemont Pharmaceuticals,Waste Water,Low,Baseline,"Basin characterised by low water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
Perrigo Company,HRA Pharma Global HQ,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (specialty pharma & brand strategy) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
Perrigo Company,HRA Pharma US,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (north american sales & marketing) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
The Hain Celestial Group,Global Headquarters,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (global executive admin & commercial ops) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
The Hain Celestial Group,Celestial Seasonings,Waste Water,Very High,Baseline,"Basin characterised by extremely high water stress. Seasonal water depletion (>25–75% annual depletion, seasonal) reduces assimilative capacity of local waterways."
The Hain Celestial Group,Hain Personal Care Hub,Waste Water,Critical,Baseline,"Manufacturing facility producing personal care and beauty chemical formulations (surfactants, preservatives, fragrances) with a high risk of polluting effluents. Located in a basin with extremely high water stress and extremely high coastal eutrophication potential, indicating that any discharge has an elevated risk of contributing to eutrophication and aquatic ecosystem degradation."
The Hain Celestial Group,Hain Celestial Canada HQ,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (regional management & supply chain) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
The Hain Celestial Group,Mississauga Facility,Waste Water,High,Baseline,"Basin characterised by high water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
The Hain Celestial Group,Hain Daniels (Fakenham),Waste Water,Low,Baseline,"Basin characterised by low-medium water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
The Hain Celestial Group,Hain Daniels (Histon),Waste Water,Low,Baseline,"Basin characterised by low-medium water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
The Hain Celestial Group,Fresh Innovation Centre,Waste Water,High,Baseline,"Basin characterised by high water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
The Hain Celestial Group,Ella’s Kitchen HQ,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (baby/kids global brand management) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
The Hain Celestial Group,Natumi GmbH,Waste Water,Low,Baseline,"Basin characterised by low water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
The Hain Celestial Group,Mona Naturprodukte (Joya),Waste Water,Low,Baseline,"Basin characterised by low water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
The Hain Celestial Group,Cully & Sully,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (ireland hub - soup & meal prep) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
The Hain Celestial Group,Yorkshire Provender,Waste Water,Low,Baseline,"Basin characterised by low water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
ZURU LLC.,ZURU Global HQ,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (executive leadership & finance) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
ZURU LLC.,ZURU US Flagship Campus,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (north american hq & showroom) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
ZURU LLC.,ZURU Shenzhen Hub,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (china operations & sales hq) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
ZURU LLC.,ZURU Huizhou Smart Factory,Waste Water,Very Low,Baseline,"Basin characterised by low water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
ZURU LLC.,ZURU Guangzhou Plant,Waste Water,Low,Baseline,"Basin characterised by low water stress. Receiving water body has high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
ZURU LLC.,ZURU New Zealand HQ,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (global design & creative center) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
ZURU LLC.,ZURU Tech Italy (Modena),Waste Water,Negligible,Baseline,Administrative or non-industrial facility (bim software r&d (dreamcatcher)) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
ZURU LLC.,ZURU Tech India (Ahmedabad),Waste Water,Negligible,Baseline,Administrative or non-industrial facility (cloud services & tech operations) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
ZURU LLC.,ZURU Tech India (Kolkata),Waste Water,Negligible,Baseline,Administrative or non-industrial facility (advanced software engineering) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
ZURU LLC.,ZURU Bentonville Office,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (retail partner hub (walmart/sam's club)) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
ZURU LLC.,ZURU Tech Italy (Milan),Waste Water,Negligible,Baseline,Administrative or non-industrial facility (architectural design & ai hub) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
ZURU LLC.,ZURU Dongguan Tech Center,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (automation & robotics engineering) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
John Paul Mitchell Systems,Global Headquarters,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (executive hq & global operations) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
John Paul Mitchell Systems,JPMS Creative Center,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (brand marketing & global design) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
John Paul Mitchell Systems,Santa Clarita DC,Waste Water,Medium,Baseline,"Distribution and logistics facility with limited wastewater generation (sanitation and cleaning only); score capped relative to WRI basin indicator. Basin characterised by extremely high water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge. Seasonal water depletion (>25–75% annual depletion, seasonal) reduces assimilative capacity of local waterways."
John Paul Mitchell Systems,The Awapuhi Farm,Waste Water,Very Low,Baseline,Basin characterised by moderate water stress.
John Paul Mitchell Systems,JPMS UK (Salon Success),Waste Water,Negligible,Baseline,Administrative or non-industrial facility (emea regional hq & logistics) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
John Paul Mitchell Systems,JPMS European Hub,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (western europe commercial hub) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
John Paul Mitchell Systems,Pro-motive (Subsidiary),Waste Water,Negligible,Baseline,Administrative or non-industrial facility (specialized salon tool r&d) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
John Paul Mitchell Systems,Distribution Center East,Waste Water,Low,Baseline,Distribution and logistics facility with limited wastewater generation (sanitation and cleaning only); score capped relative to WRI basin indicator. Basin characterised by low-medium water stress.
"Natural Organics, Inc.",Global Headquarters,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (executive hq & global operations) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
"Natural Organics, Inc.",Melville Manufacturing,Waste Water,Very High,Baseline,"Basin characterised by extremely high water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"Natural Organics, Inc.","The ""Pharma-Lab""",Waste Water,Very High,Baseline,"Basin characterised by extremely high water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"Natural Organics, Inc.",Melville Distribution,Waste Water,Medium,Baseline,"Distribution and logistics facility with limited wastewater generation (sanitation and cleaning only); score capped relative to WRI basin indicator. Basin characterised by extremely high water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"Natural Organics, Inc.",Amityville Facility,Waste Water,Very High,Baseline,"Basin characterised by extremely high water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"Natural Organics, Inc.",Nature’s Plus UK,Waste Water,Medium,Baseline,"Distribution and logistics facility with limited wastewater generation (sanitation and cleaning only); score capped relative to WRI basin indicator. Basin characterised by high water stress. Receiving water body has extremely high coastal eutrophication potential, increasing sensitivity to any industrial discharge."
"Natural Organics, Inc.",Euro-Nutrition Hub,Waste Water,Negligible,Baseline,Administrative or non-industrial facility (european regulatory & sales hub) with no significant wastewater generation. WRI basin-level water stress indicators are not applicable to facility operations.
