supplier_name,facility_name,risk_type,risk_level,risk_confidence,risk_trend,timeframe,context,probabilty_fire_weather_conditions,fire_ignition_probability
Garmin International,Global Headquarters,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.024902; P(FWI > 20) projected = 0.278540; P(FWI > 50) historical mean (1975-2000) = 0.000076; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,27.9%,0.0%
Garmin International,Olathe Manufacturing,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.024902; P(FWI > 20) projected = 0.278540; P(FWI > 50) historical mean (1975-2000) = 0.000076; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,27.9%,0.0%
Garmin International,Garmin Salem,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.315522; P(FWI > 20) projected = 0.706910; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.001610; fire ignition probability = 0.000000.,70.7%,0.0%
Garmin International,Garmin Chandler,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 1.000000; P(FWI > 20) projected = 1.000000; P(FWI > 50) historical mean (1975-2000) = 0.994959; P(FWI > 50) projected = 0.999860; fire ignition probability = 0.000000.,100.0%,0.0%
Garmin International,Lin Kou Plant (Taiwan),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.003661; P(FWI > 20) projected = 0.000020; P(FWI > 50) historical mean (1975-2000) = 0.000083; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Garmin International,Zhongli Plant (Taiwan),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.008788; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000882; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Garmin International,Tainan Plant (Taiwan),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.020062; P(FWI > 20) projected = 0.095050; P(FWI > 50) historical mean (1975-2000) = 0.000549; P(FWI > 50) projected = 0.028210; fire ignition probability = 0.000000.,9.5%,0.0%
Garmin International,Garmin Europe HQ,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.030556; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.015999; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Garmin International,Würzburg R&D (Germany),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.024390; P(FWI > 20) projected = 0.000280; P(FWI > 50) historical mean (1975-2000) = 0.011629; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Garmin International,Garmin Cluj (Romania),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.019762; P(FWI > 20) projected = 0.000010; P(FWI > 50) historical mean (1975-2000) = 0.002489; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.071429.,0.0%,7.1%
Garmin International,Garmin Singapore,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.010295; P(FWI > 20) projected = 0.000060; P(FWI > 50) historical mean (1975-2000) = 0.004586; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Garmin International,Garmin Birtley (UK),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000601; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Garmin International,Garmin Australasia,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.083672; P(FWI > 20) projected = 0.047470; P(FWI > 50) historical mean (1975-2000) = 0.004500; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.142857.,4.7%,14.3%
Techtronic Industries,TTI Innovation Center,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.004359; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000260; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Techtronic Industries,Milwaukee Tool Global HQ,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.007557; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.001718; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Techtronic Industries,Milwaukee Tool Jackson Plant,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.012693; P(FWI > 20) projected = 0.005520; P(FWI > 50) historical mean (1975-2000) = 0.000995; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.6%,0.0%
Techtronic Industries,Milwaukee Tool Grenada Plant,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.019321; P(FWI > 20) projected = 0.018780; P(FWI > 50) historical mean (1975-2000) = 0.003360; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,1.9%,0.0%
Techtronic Industries,Milwaukee Tool Greenwood Plant,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.040400; P(FWI > 20) projected = 0.029730; P(FWI > 50) historical mean (1975-2000) = 0.009211; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,3.0%,0.0%
Techtronic Industries,Milwaukee Tool Olive Branch DC,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.007206; P(FWI > 20) projected = 0.051040; P(FWI > 50) historical mean (1975-2000) = 0.000097; P(FWI > 50) projected = 0.000230; fire ignition probability = 0.000000.,5.1%,0.0%
Techtronic Industries,Milwaukee Tool Clinton Plant,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.048822; P(FWI > 20) projected = 0.010220; P(FWI > 50) historical mean (1975-2000) = 0.023839; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,1.0%,0.0%
Techtronic Industries,Milwaukee Tool West Bend,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001279; P(FWI > 20) projected = 0.000060; P(FWI > 50) historical mean (1975-2000) = 0.000002; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Techtronic Industries,Empire Level (Subsidiary),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.002994; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000055; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Techtronic Industries,Milwaukee Tool Torreon,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 1.000000; P(FWI > 20) projected = 1.000000; P(FWI > 50) historical mean (1975-2000) = 0.331835; P(FWI > 50) projected = 0.903450; fire ignition probability = 0.000000.,100.0%,0.0%
Techtronic Industries,TTI Floor Care N.A.,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000000; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Techtronic Industries,TTI Dongguan Hub,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.020540; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000411; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
Techtronic Industries,TTI Vietnam (SHTP),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.629029; P(FWI > 20) projected = 0.662160; P(FWI > 50) historical mean (1975-2000) = 0.000290; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,66.2%,0.0%
Techtronic Industries,DreBo Werkzeugfabrik,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.004208; P(FWI > 20) projected = 0.006350; P(FWI > 50) historical mean (1975-2000) = 0.001809; P(FWI > 50) projected = 0.000030; fire ignition probability = 0.000000.,0.6%,0.0%
Techtronic Industries,Ryobi Die Casting (USA),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001540; P(FWI > 20) projected = 0.000290; P(FWI > 50) historical mean (1975-2000) = 0.000038; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Global Corporate HQ,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001080; P(FWI > 20) projected = 0.000130; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Waxdale Facility,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.001080; P(FWI > 20) projected = 0.000130; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Ziploc Bay City Plant,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000578; P(FWI > 20) projected = 0.025020; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000150; fire ignition probability = 0.000000.,2.5%,0.0%
S.C. Johnson & Son Inc.,North America HQ,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.002511; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000180; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Method Soapbox,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000878; P(FWI > 20) projected = 0.000090; P(FWI > 50) historical mean (1975-2000) = 0.000007; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,SC Johnson Professional HQ,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000000; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Stanley Plant (SCJP),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000000; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.000000; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,SCJ Europlant,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.008382; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.003211; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,European Headquarters (Rolle),Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.000226; P(FWI > 20) projected = 0.015790; P(FWI > 50) historical mean (1975-2000) = 0.000001; P(FWI > 50) projected = 0.000040; fire ignition probability = 0.000000.,1.6%,0.0%
S.C. Johnson & Son Inc.,Gorzów Manufacturing,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.007798; P(FWI > 20) projected = 0.000170; P(FWI > 50) historical mean (1975-2000) = 0.000185; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,Rosslyn Factory,Wildfire,Very High,High,Improving,Within 12 Months,All SSP scenarios consistently project Very High wildfire risk. Projected reduction in wildfire risk relative to historical baseline. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.999854; P(FWI > 20) projected = 1.000000; P(FWI > 50) historical mean (1975-2000) = 0.026984; P(FWI > 50) projected = 0.061670; fire ignition probability = 1.000000.,100.0%,100.0%
S.C. Johnson & Son Inc.,Shanghai Johnson Ltd,Wildfire,Very Low,High,Stable,Within 12 Months,Historical fire weather data indicates very low wildfire risk. No SSP scenario projects a material change in fire weather conditions at this location within 12 months. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.007315; P(FWI > 20) projected = 0.000000; P(FWI > 50) historical mean (1975-2000) = 0.001013; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.000000.,0.0%,0.0%
S.C. Johnson & Son Inc.,SC Johnson Vietnam,Wildfire,Very Low,Medium,Improving,Within 12 Months,Historical fire weather data indicates very low wildfire risk. Projected fire weather conditions suggest marginal improvement within this horizon. Fire risk data: P(FWI > 20) historical mean (1975-2000) = 0.672727; P(FWI > 20) projected = 0.721290; P(FWI > 50) historical mean (1975-2000) = 0.000137; P(FWI > 50) projected = 0.000000; fire ignition probability = 0.071429.,72.1%,7.1%
