supplier_name,facility_name,risk_type,risk_level,timeframe,ilo_sdg_8_8_2_score,working_poverty_rate_pct,work_injury_coverage_rate,minimum_wage_ppp_usd_monthly,context
"S.C. Johnson & Son, Inc.",North America HQ,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
"S.C. Johnson & Son, Inc.",North America HQ,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
"S.C. Johnson & Son, Inc.","Method ""Soapbox""",Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
"S.C. Johnson & Son, Inc.",SC Johnson Professional HQ,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
"S.C. Johnson & Son, Inc.",Stanley Plant (SCJP),Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
"S.C. Johnson & Son, Inc.",SCJ Europlant,Worker Rights - Labour Rights,Low,Baseline,0.73,100.0,0.0,2735.655,"ILO SDG 8.8.2 score 0.73 (low labour rights violations); working poverty rate: 100.0% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,736/month. Baseline risk level: Low."
"S.C. Johnson & Son, Inc.",SCJ Europlant,Worker Rights - Remuneration,Very Low,Baseline,0.73,100.0,0.0,2735.655,"ILO SDG 8.8.2 score 0.73 (low labour rights violations); working poverty rate: 100.0% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,736/month. Baseline risk level: Very Low."
"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Worker Rights - Labour Rights,Very Low,Baseline,0.35,80.1,0.0,3804.362,"ILO SDG 8.8.2 score 0.35 (low labour rights violations); working poverty rate: 80.1% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 3,804/month. Baseline risk level: Very Low."
"S.C. Johnson & Son, Inc.",European Headquarters (Rolle),Worker Rights - Remuneration,Very Low,Baseline,0.35,80.1,0.0,3804.362,"ILO SDG 8.8.2 score 0.35 (low labour rights violations); working poverty rate: 80.1% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 3,804/month. Baseline risk level: Very Low."
"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Worker Rights - Labour Rights,Medium,Baseline,1.43,86.6,0.0,2074.817,"ILO SDG 8.8.2 score 1.43 (low labour rights violations); working poverty rate: 86.6% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,075/month. Baseline risk level: Medium."
"S.C. Johnson & Son, Inc.",Gorzów Manufacturing,Worker Rights - Remuneration,Very Low,Baseline,1.43,86.6,0.0,2074.817,"ILO SDG 8.8.2 score 1.43 (low labour rights violations); working poverty rate: 86.6% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,075/month. Baseline risk level: Very Low."
"S.C. Johnson & Son, Inc.",Rosslyn Factory,Worker Rights - Labour Rights,Low,Baseline,1.34,38.8,14.297,620.216,ILO SDG 8.8.2 score 1.34 (low labour rights violations); working poverty rate: 38.8% (moderate-high); work injury scheme coverage: 14.297; minimum wage: PPP USD 620/month. Baseline risk level: Low.
"S.C. Johnson & Son, Inc.",Rosslyn Factory,Worker Rights - Remuneration,Medium,Baseline,1.34,38.8,14.297,620.216,ILO SDG 8.8.2 score 1.34 (low labour rights violations); working poverty rate: 38.8% (moderate-high); work injury scheme coverage: 14.297; minimum wage: PPP USD 620/month. Baseline risk level: Medium.
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Worker Rights - Labour Rights,Very High,Baseline,9.32,35.9,0.09,543.541,ILO SDG 8.8.2 score 9.32 (significant labour rights constraints); working poverty rate: 35.9% (moderate-high); work injury scheme coverage: 0.09; minimum wage: PPP USD 544/month. Baseline risk level: Very High.
"S.C. Johnson & Son, Inc.",Shanghai Johnson Ltd,Worker Rights - Remuneration,Very High,Baseline,9.32,35.9,0.09,543.541,ILO SDG 8.8.2 score 9.32 (significant labour rights constraints); working poverty rate: 35.9% (moderate-high); work injury scheme coverage: 0.09; minimum wage: PPP USD 544/month. Baseline risk level: Very High.
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Worker Rights - Labour Rights,Very High,Baseline,9.14,29.6,1.748,692.668,ILO SDG 8.8.2 score 9.14 (significant labour rights constraints); working poverty rate: 29.6% (moderate-high); work injury scheme coverage: 1.748; minimum wage: PPP USD 693/month. Baseline risk level: Very High.
"S.C. Johnson & Son, Inc.",SC Johnson Vietnam,Worker Rights - Remuneration,Very High,Baseline,9.14,29.6,1.748,692.668,ILO SDG 8.8.2 score 9.14 (significant labour rights constraints); working poverty rate: 29.6% (moderate-high); work injury scheme coverage: 1.748; minimum wage: PPP USD 693/month. Baseline risk level: Very High.
"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Worker Rights - Labour Rights,High,Baseline,3.98,48.9,0.042,567.883,ILO SDG 8.8.2 score 3.98 (moderate labour rights constraints); working poverty rate: 48.9% (moderate-high); work injury scheme coverage: 0.042 (low); minimum wage: PPP USD 568/month. Baseline risk level: High.
"S.C. Johnson & Son, Inc.",LATAM Regional HQ,Worker Rights - Remuneration,Medium,Baseline,3.98,48.9,0.042,567.883,ILO SDG 8.8.2 score 3.98 (moderate labour rights constraints); working poverty rate: 48.9% (moderate-high); work injury scheme coverage: 0.042 (low); minimum wage: PPP USD 568/month. Baseline risk level: Medium.
"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Worker Rights - Labour Rights,High,Baseline,3.98,48.9,0.042,567.883,ILO SDG 8.8.2 score 3.98 (moderate labour rights constraints); working poverty rate: 48.9% (moderate-high); work injury scheme coverage: 0.042 (low); minimum wage: PPP USD 568/month. Baseline risk level: High.
"S.C. Johnson & Son, Inc.",Pilar Manufacturing,Worker Rights - Remuneration,Medium,Baseline,3.98,48.9,0.042,567.883,ILO SDG 8.8.2 score 3.98 (moderate labour rights constraints); working poverty rate: 48.9% (moderate-high); work injury scheme coverage: 0.042 (low); minimum wage: PPP USD 568/month. Baseline risk level: Medium.
"S.C. Johnson & Son, Inc.",Toluca Plant,Worker Rights - Labour Rights,High,Baseline,3.81,41.7,1.575,588.706,ILO SDG 8.8.2 score 3.81 (moderate labour rights constraints); working poverty rate: 41.7% (moderate-high); work injury scheme coverage: 1.575; minimum wage: PPP USD 589/month. Baseline risk level: High.
"S.C. Johnson & Son, Inc.",Toluca Plant,Worker Rights - Remuneration,Medium,Baseline,3.81,41.7,1.575,588.706,ILO SDG 8.8.2 score 3.81 (moderate labour rights constraints); working poverty rate: 41.7% (moderate-high); work injury scheme coverage: 1.575; minimum wage: PPP USD 589/month. Baseline risk level: Medium.
"GOJO Industries, Inc.",Global Headquarters,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
"GOJO Industries, Inc.",Global Headquarters,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
"GOJO Industries, Inc.",Lippman Campus (Stow),Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
"GOJO Industries, Inc.",Lippman Campus (Stow),Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
"GOJO Industries, Inc.",Cuyahoga Falls Plant,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
"GOJO Industries, Inc.",Cuyahoga Falls Plant,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
"GOJO Industries, Inc.",Wooster Facility,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
"GOJO Industries, Inc.",Wooster Facility,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
"GOJO Industries, Inc.",Maple Heights Plant,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
"GOJO Industries, Inc.",Maple Heights Plant,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
"GOJO Industries, Inc.",Ashland Dist. Center,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
"GOJO Industries, Inc.",Ashland Dist. Center,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
"GOJO Industries, Inc.",Navarre Warehouse,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
"GOJO Industries, Inc.",Navarre Warehouse,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
"GOJO Industries, Inc.",GOJO Europe (UK HQ),Worker Rights - Labour Rights,Low,Baseline,1.25,81.5,0.0,2816.509,"ILO SDG 8.8.2 score 1.25 (low labour rights violations); working poverty rate: 81.5% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,817/month. Baseline risk level: Low."
"GOJO Industries, Inc.",GOJO Europe (UK HQ),Worker Rights - Remuneration,Very Low,Baseline,1.25,81.5,0.0,2816.509,"ILO SDG 8.8.2 score 1.25 (low labour rights violations); working poverty rate: 81.5% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,817/month. Baseline risk level: Very Low."
"GOJO Industries, Inc.",GOJO France SARL,Worker Rights - Labour Rights,Low,Baseline,0.68,92.8,0.0,2376.898,"ILO SDG 8.8.2 score 0.68 (low labour rights violations); working poverty rate: 92.8% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,377/month. Baseline risk level: Low."
"GOJO Industries, Inc.",GOJO France SARL,Worker Rights - Remuneration,Very Low,Baseline,0.68,92.8,0.0,2376.898,"ILO SDG 8.8.2 score 0.68 (low labour rights violations); working poverty rate: 92.8% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,377/month. Baseline risk level: Very Low."
"GOJO Industries, Inc.",GOJO Australasia,Worker Rights - Labour Rights,Low,Baseline,0.72,79.9,0.0,2802.603,"ILO SDG 8.8.2 score 0.72 (low labour rights violations); working poverty rate: 79.9% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,803/month. Baseline risk level: Low."
"GOJO Industries, Inc.",GOJO Australasia,Worker Rights - Remuneration,Very Low,Baseline,0.72,79.9,0.0,2802.603,"ILO SDG 8.8.2 score 0.72 (low labour rights violations); working poverty rate: 79.9% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,803/month. Baseline risk level: Very Low."
"GOJO Industries, Inc.","GOJO Japan, Inc.",Worker Rights - Labour Rights,Low,Baseline,1.28,89.9,0.0,1805.801,"ILO SDG 8.8.2 score 1.28 (low labour rights violations); working poverty rate: 89.9% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,806/month. Baseline risk level: Low."
"GOJO Industries, Inc.","GOJO Japan, Inc.",Worker Rights - Remuneration,Very Low,Baseline,1.28,89.9,0.0,1805.801,"ILO SDG 8.8.2 score 1.28 (low labour rights violations); working poverty rate: 89.9% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,806/month. Baseline risk level: Very Low."
"GOJO Industries, Inc.",GOJO América Latina,Worker Rights - Labour Rights,High,Baseline,3.25,52.2,0.731,559.319,ILO SDG 8.8.2 score 3.25 (moderate labour rights constraints); working poverty rate: 52.2% (moderate-high); work injury scheme coverage: 0.731; minimum wage: PPP USD 559/month. Baseline risk level: High.
"GOJO Industries, Inc.",GOJO América Latina,Worker Rights - Remuneration,Medium,Baseline,3.25,52.2,0.731,559.319,ILO SDG 8.8.2 score 3.25 (moderate labour rights constraints); working poverty rate: 52.2% (moderate-high); work injury scheme coverage: 0.731; minimum wage: PPP USD 559/month. Baseline risk level: Medium.
"GOJO Industries, Inc.",GOJO Canada Inc.,Worker Rights - Labour Rights,Medium,Baseline,1.55,84.5,0.0,2408.556,"ILO SDG 8.8.2 score 1.55 (low labour rights violations); working poverty rate: 84.5% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,409/month. Baseline risk level: Medium."
"GOJO Industries, Inc.",GOJO Canada Inc.,Worker Rights - Remuneration,Very Low,Baseline,1.55,84.5,0.0,2408.556,"ILO SDG 8.8.2 score 1.55 (low labour rights violations); working poverty rate: 84.5% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 2,409/month. Baseline risk level: Very Low."
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Worker Rights - Labour Rights,Very High,Baseline,9.32,35.9,0.09,543.541,ILO SDG 8.8.2 score 9.32 (significant labour rights constraints); working poverty rate: 35.9% (moderate-high); work injury scheme coverage: 0.09; minimum wage: PPP USD 544/month. Baseline risk level: Very High.
Hangzhou Greatstar Industrial.Co.,Global Headquarters,Worker Rights - Remuneration,Very High,Baseline,9.32,35.9,0.09,543.541,ILO SDG 8.8.2 score 9.32 (significant labour rights constraints); working poverty rate: 35.9% (moderate-high); work injury scheme coverage: 0.09; minimum wage: PPP USD 544/month. Baseline risk level: Very High.
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
Hangzhou Greatstar Industrial.Co.,GreatStar Industrial USA,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
Hangzhou Greatstar Industrial.Co.,Arrow Fastener Co. HQ,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
Hangzhou Greatstar Industrial.Co.,Shop-Vac / SK Tools USA,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Worker Rights - Labour Rights,High,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: High."
Hangzhou Greatstar Industrial.Co.,Prime-Line Products,Worker Rights - Remuneration,Low,Baseline,3.83,87.2,0.0,1257.0,"ILO SDG 8.8.2 score 3.83 (moderate labour rights constraints); working poverty rate: 87.2% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 1,257/month. Baseline risk level: Low."
Hangzhou Greatstar Industrial.Co.,LISTA AG (Switzerland),Worker Rights - Labour Rights,Very Low,Baseline,0.35,80.1,0.0,3804.362,"ILO SDG 8.8.2 score 0.35 (low labour rights violations); working poverty rate: 80.1% (very high); work injury scheme coverage: 0 (absent or data gap); minimum wage: PPP USD 3,804/month. Baseline risk level: Very Low."
